transaccion_id,usuario_id,banco,timestamp,monto,metodo_pago,categoria_comercio,distrito_home,lat_transaccion,lon_transaccion,distancia_km_home,comercio_nuevo,tx_ultimos_15min,hora_dia,dia_semana,es_fraude
TX_100000,USR_202,BBVA,2026-06-28 03:13:05,480.32,Plin,Otros,Santiago de Surco,-11.94991,-77.03229,5.01,0,2,3,6,1
TX_100001,USR_448,Scotiabank,2026-07-04 14:25:05,121.84,Plin,Restaurantes,Lima,-11.98301,-77.06068,1.89,0,3,14,5,0
TX_100002,USR_370,BCP,2026-07-08 07:55:05,144.36,Yape,Supermercados,Santiago de Surco,-12.01545,-76.92786,4.62,0,1,7,2,0
TX_100003,USR_206,BBVA,2026-07-10 01:34:05,42.36,Yape,Casinos,Los Olivos,-11.95196,-77.07067,3.25,0,2,1,4,0
TX_100004,USR_171,BCP,2026-07-08 05:37:05,152.38,Plin,Casinos,Santiago de Surco,-12.02631,-76.91828,7.26,1,3,5,2,0
TX_100005,USR_288,BCP,2026-06-26 04:18:05,132.16,Transferencia,Casinos,Los Olivos,-12.07501,-77.04331,1.22,0,1,4,4,0
TX_100006,USR_120,BCP,2026-06-23 20:32:05,35.66,Transferencia,Otros,Lima,-12.10991,-76.92011,4.15,0,1,20,1,0
TX_100007,USR_202,Banco de la Nacion,2026-07-01 17:20:05,14.22,Tarjeta de Debito,Grifos,Miraflores,-11.9881,-76.94184,6.28,1,1,17,2,0
TX_100008,USR_221,BCP,2026-07-11 12:17:05,144.09,Yape,Otros,Lima,-11.91764,-76.9836,4.03,0,1,12,5,0
TX_100009,USR_314,Banco de la Nacion,2026-07-05 08:08:05,221.39,Tarjeta de Debito,Restaurantes,Santiago de Surco,-12.1116,-76.96611,6.33,0,2,8,6,0
TX_100010,USR_430,Scotiabank,2026-07-02 15:20:05,116.16,Yape,Restaurantes,Los Olivos,-12.105,-77.03483,2.47,0,3,15,3,0
TX_100011,USR_187,BBVA,2026-07-11 09:56:05,43.58,Plin,Restaurantes,Santiago de Surco,-12.0416,-76.98515,11.96,0,1,9,5,0
TX_100012,USR_472,BBVA,2026-07-05 20:32:05,169.73,Transferencia,Restaurantes,Santiago de Surco,-11.94828,-77.04152,4.15,1,3,20,6,0
TX_100013,USR_199,BBVA,2026-06-30 17:40:05,17.52,Transferencia,Restaurantes,Miraflores,-12.07652,-77.01955,11.32,0,3,17,1,0
TX_100014,USR_459,BBVA,2026-06-26 10:52:05,92.46,Plin,Tecnologia,Santiago de Surco,-12.08652,-76.94707,4.44,0,3,10,4,0
TX_100015,USR_251,BBVA,2026-06-19 10:07:05,31.76,Tarjeta de Debito,Casinos,Miraflores,-11.99501,-77.05121,8.73,0,2,10,4,0
TX_100016,USR_230,BBVA,2026-07-03 03:22:05,35.59,Tarjeta de Debito,Otros,Los Olivos,-12.0161,-76.93223,3.76,0,2,3,4,0
TX_100017,USR_249,BBVA,2026-06-24 17:37:05,38.9,Tarjeta de Credito,Tecnologia,Los Olivos,-12.13494,-77.02482,7.44,1,1,17,2,0
TX_100018,USR_408,Scotiabank,2026-06-18 05:08:05,78.34,Yape,Otros,Miraflores,-12.12963,-76.99357,4.42,0,3,5,3,0
TX_100019,USR_357,BCP,2026-07-10 16:03:05,12.88,Tarjeta de Debito,Grifos,Lima,-11.98925,-76.91161,5.97,0,2,16,4,0
TX_100020,USR_443,Interbank,2026-06-27 12:30:05,81.07,Plin,Supermercados,Los Olivos,-12.03372,-76.96375,7.48,0,2,12,5,0
TX_100021,USR_393,Banco de la Nacion,2026-07-03 23:50:05,112.53,Tarjeta de Debito,Casinos,Lima,-11.90726,-76.97088,6.67,0,2,23,4,0
TX_100022,USR_485,Interbank,2026-07-17 06:54:05,104.04,Transferencia,Grifos,Los Olivos,-11.98037,-76.95768,6.55,1,1,6,4,0
TX_100023,USR_291,Interbank,2026-07-14 13:21:05,77.38,Yape,Tecnologia,Los Olivos,-12.14748,-76.91638,1.84,0,2,13,1,0
TX_100024,USR_376,BCP,2026-06-22 20:28:05,279.09,Tarjeta de Credito,Supermercados,San Isidro,-12.02975,-77.0503,3.78,1,3,20,0,0
TX_100025,USR_260,BCP,2026-06-20 14:13:05,28.56,Yape,Grifos,Santiago de Surco,-12.04639,-76.97735,6.51,0,2,14,5,0
TX_100026,USR_413,BCP,2026-06-18 22:35:05,110.69,Transferencia,Otros,Santiago de Surco,-12.12332,-77.01992,0.96,0,2,22,3,0
TX_100027,USR_121,BBVA,2026-06-23 17:21:05,14.61,Transferencia,Supermercados,Lima,-11.9192,-77.09763,3.8,1,1,17,1,0
TX_100028,USR_352,Scotiabank,2026-06-23 04:11:05,16.07,Transferencia,Otros,Santiago de Surco,-11.94875,-77.07494,3.61,0,3,4,1,0
TX_100029,USR_335,BBVA,2026-07-12 09:24:05,132.95,Transferencia,Grifos,Lima,-12.09248,-77.035,3.79,0,2,9,6,0
TX_100030,USR_444,Scotiabank,2026-07-01 19:16:05,130.21,Plin,Tecnologia,Los Olivos,-12.086,-76.987,6.19,0,3,19,2,0
TX_100031,USR_148,Scotiabank,2026-07-14 20:00:05,320.6,Tarjeta de Credito,Otros,San Isidro,-12.142,-76.92371,6.6,0,3,20,1,0
TX_100032,USR_158,Interbank,2026-07-16 20:07:05,127.42,Transferencia,Supermercados,San Isidro,-12.07582,-76.94178,10.95,0,2,20,3,0
TX_100033,USR_269,Interbank,2026-07-06 17:30:05,487.05,Transferencia,Grifos,Los Olivos,-12.00384,-76.98933,4.94,0,1,17,0,0
TX_100034,USR_287,Scotiabank,2026-07-07 09:59:05,12.49,Tarjeta de Debito,Otros,Miraflores,-12.04479,-77.08523,11.43,0,3,9,1,0
TX_100035,USR_370,Scotiabank,2026-06-29 05:34:05,20.47,Tarjeta de Credito,Tecnologia,Miraflores,-11.90769,-77.04282,7.26,0,2,5,0,0
TX_100036,USR_289,BBVA,2026-06-27 01:25:05,11.76,Yape,Casinos,Santiago de Surco,-12.13598,-77.02666,11.04,0,3,1,5,0
TX_100037,USR_274,BBVA,2026-07-06 23:28:05,35.74,Tarjeta de Credito,Tecnologia,Lima,-12.00214,-76.97566,9.47,0,3,23,0,0
TX_100038,USR_150,Interbank,2026-07-01 23:30:05,121.89,Tarjeta de Credito,Tecnologia,San Isidro,-11.93542,-77.08702,7.63,0,3,23,2,0
TX_100039,USR_463,BCP,2026-07-09 08:11:05,160.59,Tarjeta de Credito,Casinos,Santiago de Surco,-12.02981,-76.99396,4.69,0,2,8,3,0
TX_100040,USR_154,Scotiabank,2026-06-28 23:50:05,12.0,Transferencia,Tecnologia,Los Olivos,-12.14926,-76.91971,3.71,0,3,23,6,1
TX_100041,USR_343,BBVA,2026-07-11 21:32:05,442.73,Transferencia,Casinos,San Isidro,-12.0893,-76.95891,3.55,1,3,21,5,0
TX_100042,USR_419,Interbank,2026-06-27 20:58:05,281.93,Plin,Casinos,Lima,-12.06906,-76.94058,12.33,0,1,20,5,0
TX_100043,USR_230,BBVA,2026-07-05 11:02:05,57.78,Yape,Otros,Lima,-11.9085,-76.96366,12.62,1,2,11,6,0
TX_100044,USR_406,Scotiabank,2026-06-27 08:06:05,17.05,Tarjeta de Debito,Otros,Miraflores,-11.92206,-77.05868,8.03,0,2,8,5,0
